uss,max_abs_dpres_dt_Pa_s,delta_max_m,Umin_m_s,Umax_m_s,beta_abs_max,q_abs_max_m
1.2,5.056e5,3.5207e-3,-0.1516,1.18,0.12,2.0388
1.22,4.718e5,3.4312e-3,-0.0991,1.1959,0.12,1.9924
1.24,4.351e5,3.3295e-3,-0.0521,1.2157,0.12,1.9459
1.26,4.034e5,3.1633e-3,0.0031,1.2352,0.12,1.8896
1.28,3.783e5,3.0493e-3,0.0842,1.2544,0.12,1.8815
1.3,3.522e5,3.0151e-3,0.1164,1.2779,0.12,1.8854
1.4,5.721e5,2.8641e-3,0.2738,1.3777,0.12,1.9279
1.6,4.743e5,3.0580e-3,0.3829,1.5761,0.12,2.0878
1.8,5.366e5,2.4158e-3,0.7514,1.777,0.12,2.0219
2.0,5.376e5,2.2252e-3,0.9641,1.977,0.12,2.0371
